사업자등록번호,사업장명,소재지전체주소,영업상태명,폐업일자,처분일자,위반내용,처분내용상세,처분종류명
0001001499,"아버지의해물탕식당","서울특별시 구로구 고척동 양재천로 85-20",영업중,,2019-12-26,"위생관리기준 위반","조리사 면허 미취득 조리",영업정지3개월
0001001500,"라멘원","서울특별시 강동구 암사동 우이천로 136-20 2층",영업중,,,,,
0001001501,"맛있는 한우","서울특별시 금천구 독산동 서강대로 74-19",영업중,,,,,
0001001502,"압구정 족발","서울특별시 노원구 상계동 봉천로 160-12 3층",영업중,,,,,
0001001503,"황금비빔밥집","서울특별시 성동구 행당동 언주로 40-6",영업중,,,,,
0001001504,"윤씨라멘왕국","서울특별시 도봉구 방학동 영등포로 152-1",영업중,,,,,
0001001505,"초밥767번지나라","서울특별시 동작구 흑석동 수유로 46-8 4층",영업중,,,,,
0001001506,"사장님라멘전문점","서울특별시 동대문구 용두동 보라매로 107-13 2층",영업중,,,,,
0001001507,"강씨된장찌개집","서울특별시 양천구 목동 강서로 104-14 1층",영업중,,,,,
0001001508,"정씨오삼불고기왕국","서울특별시 관악구 봉천동 경인로 155-2",영업중,,,,,
0001001509,"최씨황태해장국코너","서울특별시 송파구 거여동 경인로 184-9",영업중,,,,,
0001001510,"냉면관","서울특별시 구로구 고척동 올림픽로 28-12 1층",영업중,,,,,
0001001511,"된장찌개607번지명가","서울특별시 동작구 상도동 한남대로 94-10",영업중,,,,,
0001001512,"신선한초밥식당","서울특별시 양천구 목동 아리수로 185-12",영업중,,2021-07-06,"원산지 표시 위반","위생모 미착용",과태료
0001001513,"신씨한정식코너","서울특별시 강남구 논현동 시청앞로 4-1",영업중,,,,,
0001001514,"명동부대찌개나라","서울특별시 관악구 인헌동 당산로 178-15",영업중,,,,,
0001001515,"순대마당","서울특별시 마포구 공덕동 을지로 63-3",영업중,,,,,
0001001516,"삼겹살530번지코너","서울특별시 강북구 번동 양재천로 191-8",영업중,,,,,
0001001517,"정씨짜장면마당","서울특별시 종로구 인의동 선유로 80-11",영업중,,,,,
0001001518,"이태원갈비탕원","서울특별시 마포구 서교동 삼양로 40-4",폐업,2020-01-25,,,,
0001001519,"고향우동나라","서울특별시 광진구 능동동 관악로 29-19",영업중,,,,,
0001001520,"파스타집","서울특별시 동대문구 신설동 삼양로 166-1",영업중,,2020-09-04,"위생관리기준 위반","조리사 면허 미취득 조리",시정명령
0001001521,"최씨갈비관","서울특별시 성동구 옥수동 남대문로 68-20",영업중,,2026-02-20,"위생관리기준 위반","종업원 건강진단 미실시",과태료
0001001522,"해장국398번지집","서울특별시 성동구 마장동 올림픽로 131-4 1층",영업중,,,,,
0001001523,"황금짬뽕코너","서울특별시 서대문구 창천동 남대문로 60-12",영업중,,,,,
0001001524,"임씨한정식본점","서울특별시 도봉구 방학동 시청앞로 78-4 3층",영업중,,,,,
0001001525,"한씨스테이크세상","서울특별시 서대문구 홍제동 인수봉로 31-3",영업중,,,,,
0001001526,"아버지의김치찌개원","서울특별시 양천구 신월동 시청앞로 143-11 3층",영업중,,,,,
0001001527,"회가","서울특별시 강북구 번동 이태원로 113-16",영업중,,,,,
0001001528,"해물탕마당","서울특별시 노원구 중계동 서강대로 113-9 4층",영업중,,2025-12-21,"시설기준 위반","냉장·냉동설비 미작동",경고
0001001529,"참오삼불고기명가","서울특별시 노원구 하계동 봉천로 170-11",영업중,,,,,
0001001530,"치킨994번지왕국","서울특별시 성북구 석관동 이태원로 199-3",영업중,,,,,
0001001531,"이씨김치찌개직영점","서울특별시 금천구 시흥동 신월로 10-15",영업중,,,,,
0001001532,"오씨낙지볶음본점","서울특별시 마포구 아현동 선유로 102-19",영업중,,2024-12-23,"원산지 표시 위반","영업장 내 위생시설 불량",시정명령
0001001533,"강씨고기구이마당","서울특별시 도봉구 방학동 길동로 154-6",폐업,2023-08-15,,,,
0001001534,"어머니칼국수나라","서울특별시 은평구 응암동 올림픽로 15-18",영업중,,2025-09-25,"시설기준 위반","조리사 면허 미취득 조리",경고
0001001534,"어머니칼국수나라","서울특별시 은평구 응암동 올림픽로 15-18",영업중,,2018-10-02,"원산지 표시 위반","조리사 면허 미취득 조리",경고
0001001535,"치킨21번지코너","서울특별시 강동구 천호동 오목로 101-4 3층",영업중,,2024-10-07,"위생관리기준 위반","종업원 건강진단 미실시",과태료
0001001536,"한씨버거가","서울특별시 영등포구 당산동 홍대앞길 89-6 5층",영업중,,2025-11-09,"시설기준 위반","위생모 미착용",영업정지3개월
0001001536,"한씨버거가","서울특별시 영등포구 당산동 홍대앞길 89-6 5층",영업중,,2024-07-22,"원산지 표시 위반","음식물 쓰레기 처리 위반",과태료
0001001537,"행복한 한식백반","서울특별시 영등포구 문래동 동작대로 184-11",영업중,,,,,
0001001538,"칼국수명가","서울특별시 강서구 마곡동 강남대로 96-14",영업중,,2020-10-16,"원산지 표시 위반","종업원 건강진단 미실시",경고
0001001539,"신씨파스타식당","서울특별시 노원구 중계동 선유로 36-14",영업중,,,,,
0001001540,"장씨한식전문점","서울특별시 동작구 노량진동 선유로 136-1 4층",영업중,,,,,
0001001541,"압구정 해물탕","서울특별시 동대문구 신설동 세종대로 57-3",영업중,,,,,
0001001542,"강남 갈치조림","서울특별시 관악구 신림동 영등포로 50-2",영업중,,,,,
0001001543,"윤씨한우나라","서울특별시 도봉구 도봉동 종로 20-19",영업중,,,,,
0001001544,"설렁탕식당","서울특별시 양천구 목동 화곡로 28-11",폐업,2024-12-02,,,,
0001001545,"청담 된장찌개","서울특별시 송파구 잠실동 강서로 190-18",영업중,,,,,
0001001546,"최씨부대찌개왕국","서울특별시 강북구 삼양동 동작대로 147-1",영업중,,,,,
0001001547,"맛있는해장국직영점","서울특별시 구로구 신도림동 삼양로 163-2 5층",영업중,,,,,
0001001548,"신선한 라멘","서울특별시 노원구 하계동 강남대로 195-18",영업중,,,,,
0001001549,"행복한보쌈가","서울특별시 중구 청구동 공항대로 198-15",영업중,,,,,
0001001550,"해장국식당","서울특별시 중랑구 중화동 언주로 26-15",영업중,,,,,
0001001551,"오씨초밥가","서울특별시 영등포구 양평동 을지로 61-18",영업중,,,,,
0001001552,"신선한족발관","서울특별시 양천구 신월동 노량진로 118-12",영업중,,,,,
0001001553,"칼국수식당","서울특별시 동대문구 용두동 양재천로 65-8 3층",영업중,,,,,
0001001554,"옛날 짜장면","서울특별시 관악구 봉천동 한남대로 171-2",영업중,,,,,
0001001555,"홍대오삼불고기나라","서울특별시 은평구 불광동 봉천로 37-3 3층",영업중,,,,,
0001001556,"닭갈비779번지직영점","서울특별시 도봉구 창동 이태원로 169-16",영업중,,,,,
0001001557,"할머니치킨왕국","서울특별시 송파구 거여동 보라매로 32-19",영업중,,2018-11-22,"영업자 준수사항 위반","유통기한 경과 식품 보관",영업정지15일
0001001557,"할머니치킨왕국","서울특별시 송파구 거여동 보라매로 32-19",영업중,,2025-01-02,"시설기준 위반","식품첨가물 사용기준 위반",시정명령
0001001557,"할머니치킨왕국","서울특별시 송파구 거여동 보라매로 32-19",영업중,,2021-06-19,"위생관리기준 위반","식품첨가물 사용기준 위반",영업정지15일
0001001557,"할머니치킨왕국","서울특별시 송파구 거여동 보라매로 32-19",영업중,,2025-09-27,"원산지 표시 위반","원산지 허위표시",시정명령
0001001558,"강씨황태해장국직영점","서울특별시 강동구 암사동 관악로 142-14 3층",영업중,,,,,
0001001559,"황금 짜장면","서울특별시 관악구 남현동 세종대로 156-1",영업중,,,,,
0001001560,"정씨순두부찌개마당","서울특별시 강동구 명일동 서초대로 190-10 3층",영업중,,2025-09-04,"식품표시 위반","냉장·냉동설비 미작동",과태료
0001001561,"홍대삼겹살식당","서울특별시 동작구 상도동 강남대로 52-17 4층",영업중,,,,,
0001001562,"한식전문점","서울특별시 서초구 양재동 강서로 70-4",영업중,,,,,
0001001563,"삼겹살코너","서울특별시 양천구 신월동 신림로 93-9",영업중,,2021-11-10,"위생관리기준 위반","냉장·냉동설비 미작동",과태료
0001001564,"강남라멘직영점","서울특별시 마포구 망원동 세종대로 48-19",영업중,,,,,
0001001565,"떡볶이세상","서울특별시 동작구 흑석동 테헤란로 70-7",영업중,,,,,
0001001566,"회572번지코너","서울특별시 동대문구 신설동 경의로 62-5",영업중,,,,,
0001001567,"순대947번지명가","서울특별시 동작구 대방동 보라매로 35-12 3층",폐업,2024-02-22,2020-05-14,"유통기한 경과 제품 사용","원산지 허위표시",과태료
0001001568,"즐거운 치킨","서울특별시 동작구 노량진동 동작대로 54-8",영업중,,,,,
0001001569,"갈비탕609번지관","서울특별시 영등포구 영등포동 서초대로 199-20",영업중,,2020-01-22,"원산지 표시 위반","식품 보관기준 위반",시정명령
0001001569,"갈비탕609번지관","서울특별시 영등포구 영등포동 서초대로 199-20",영업중,,2025-08-12,"위생관리기준 위반","위생모 미착용",시정명령
0001001569,"갈비탕609번지관","서울특별시 영등포구 영등포동 서초대로 199-20",영업중,,2024-09-24,"원산지 표시 위반","식품접촉 기구 위생 불량",시정명령
0001001570,"황금 보쌈","서울특별시 광진구 중곡동 동작대로 72-4 3층",영업중,,,,,
0001001571,"아버지의초밥원","서울특별시 양천구 신정동 아리수로 112-13",영업중,,,,,
0001001572,"임씨우동명가","서울특별시 영등포구 여의도동 마포대로 177-18",영업중,,2021-02-25,"위생관리기준 위반","원산지 미표시",과태료
0001001573,"할머니 삼겹살","서울특별시 중구 황학동 오목로 6-7",영업중,,2023-04-08,"위생관리기준 위반","냉장·냉동설비 미작동",경고
0001001574,"서씨한정식왕국","서울특별시 강서구 마곡동 양천로 152-20",영업중,,,,,
0001001575,"갈비탕672번지집","서울특별시 노원구 하계동 테헤란로 35-14",영업중,,,,,
0001001576,"국밥337번지왕국","서울특별시 용산구 이태원동 영등포로 65-5",영업중,,,,,
0001001577,"임씨족발원","서울특별시 서대문구 북가좌동 목동로 16-3",영업중,,2021-11-26,"시설기준 위반","음식물 쓰레기 처리 위반",경고
0001001577,"임씨족발원","서울특별시 서대문구 북가좌동 목동로 16-3",영업중,,2021-12-07,"시설기준 위반","원산지 허위표시",과태료
0001001578,"즐거운순대국밥세상","서울특별시 서초구 잠원동 마포대로 59-3",영업중,,,,,
0001001579,"곱창375번지명가","서울특별시 성북구 종암동 방화대로 154-1",영업중,,2025-09-22,"원산지 표시 위반","위생모 미착용",과태료
0001001580,"신사갈비식당","서울특별시 은평구 녹번동 서강대로 52-2",영업중,,,,,
0001001581,"칼국수왕국","서울특별시 양천구 목동 성내로 74-13",영업중,,,,,
0001001582,"김씨고등어구이원","서울특별시 마포구 아현동 을지로 111-19",영업중,,,,,
0001001583,"최씨회코너","서울특별시 송파구 마천동 세종대로 120-17 5층",영업중,,,,,
0001001584,"냉면나라","서울특별시 마포구 합정동 성내로 22-16",영업중,,,,,
0001001585,"오씨치킨원","서울특별시 성북구 정릉동 강서로 22-5",영업중,,,,,
0001001586,"조씨갈비가","서울특별시 강동구 둔촌동 천호대로 138-8",영업중,,2026-04-01,"시설기준 위반","원산지 미표시",영업정지15일
0001001587,"사장님 칼국수","서울특별시 송파구 거여동 홍대앞길 29-6 1층",영업중,,,,,
0001001588,"해장국519번지나라","서울특별시 양천구 신월동 서강대로 28-1 4층",영업중,,,,,
0001001589,"김씨고기구이전문점","서울특별시 동대문구 전농동 신월로 137-10 2층",폐업,2022-09-13,,,,
0001001590,"고향부대찌개가","서울특별시 강동구 둔촌동 시청앞로 140-8",영업중,,,,,
0001001591,"강씨냉면나라","서울특별시 광진구 중곡동 길동로 166-8",영업중,,,,,
0001001592,"어머니순두부찌개왕국","서울특별시 성동구 성수동 세종대로 22-6",폐업,2022-02-28,,,,
0001001593,"오씨칼국수관","서울특별시 강서구 등촌동 언주로 170-18 1층",영업중,,,,,
0001001594,"강씨해장국왕국","서울특별시 용산구 서빙고동 용산로 56-14",영업중,,,,,
0001001595,"이씨갈비탕왕국","서울특별시 관악구 남현동 아리수로 133-9 2층",영업중,,,,,
0001001596,"청담짜장면마당","서울특별시 구로구 오류동 삼양로 61-1 5층",영업중,,,,,
0001001597,"한식백반원","서울특별시 동작구 신대방동 신월로 159-8",영업중,,,,,
0001001598,"윤씨아구찜식당","서울특별시 양천구 목동 경인로 114-18",영업중,,2021-01-02,"위생관리기준 위반","종업원 건강진단 미실시",경고
0001001598,"윤씨아구찜식당","서울특별시 양천구 목동 경인로 114-18",영업중,,2024-07-22,"원산지 표시 위반","위생모 미착용",과태료
0001001599,"고향황태해장국집","서울특별시 관악구 신림동 우이천로 112-1",영업중,,2026-06-03,"시설기준 위반","식품접촉 기구 위생 불량",과태료
0001001600,"사장님 한식백반","서울특별시 강동구 명일동 화곡로 41-18",영업중,,,,,
0001001601,"박씨고등어구이명가","서울특별시 중랑구 망우동 동작대로 114-11",영업중,,,,,
0001001602,"순두부찌개210번지마당","서울특별시 중구 청구동 통일로 162-17",영업중,,,,,
0001001603,"한우원","서울특별시 중구 명동 영등포로 184-6",영업중,,,,,
0001001604,"정씨순대국밥집","서울특별시 강동구 강일동 남부순환로 52-19",영업중,,,,,
0001001605,"갈치조림코너","서울특별시 마포구 아현동 길동로 169-2",영업중,,2025-08-09,"시설기준 위반","위생모 미착용",경고
0001001605,"갈치조림코너","서울특별시 마포구 아현동 길동로 169-2",영업중,,2025-12-21,"영업자 준수사항 위반","원산지 미표시",시정명령
0001001606,"강씨부대찌개직영점","서울특별시 성동구 금호동 목동로 161-19 1층",영업중,,,,,
0001001607,"짬뽕121번지본점","서울특별시 영등포구 영등포동 방화대로 103-17",영업중,,,,,
0001001608,"스테이크877번지마당","서울특별시 강남구 삼성동 동작대로 124-4 4층",영업중,,,,,
0001001609,"박씨제육볶음명가","서울특별시 중랑구 망우동 남대문로 123-16",영업중,,2022-08-18,"원산지 표시 위반","유통기한 경과 식품 보관",영업정지15일
0001001610,"옛날 부대찌개","서울특별시 성북구 석관동 테헤란로 90-2 5층",영업중,,,,,
0001001611,"라멘집","서울특별시 금천구 가산동 한남대로 179-4",폐업,2024-08-18,,,,
0001001612,"닭갈비893번지집","서울특별시 광진구 구의동 경인로 10-8",영업중,,,,,
0001001613,"정씨짬뽕집","서울특별시 동작구 신대방동 올림픽로 164-1",영업중,,,,,
0001001614,"조씨라멘명가","서울특별시 강남구 신사동 길동로 75-5 4층",폐업,2019-07-01,2022-11-17,"위생관리기준 위반","냉장·냉동설비 미작동",과태료
0001001614,"조씨라멘명가","서울특별시 강남구 신사동 길동로 75-5 4층",폐업,2019-07-01,2026-02-28,"위생관리기준 위반","식품접촉 기구 위생 불량",시정명령
0001001615,"조씨한우식당","서울특별시 양천구 신정동 봉천로 125-4",영업중,,,,,
0001001616,"설렁탕관","서울특별시 성북구 길음동 마포대로 56-6 4층",영업중,,2018-10-17,"시설기준 위반","조리장 청결 불량",시정명령
0001001616,"설렁탕관","서울특별시 성북구 길음동 마포대로 56-6 4층",영업중,,2025-06-13,"위생관리기준 위반","유통기한 경과 식품 보관",영업정지2개월
0001001617,"오씨삼치구이명가","서울특별시 용산구 후암동 용산로 86-4",영업중,,,,,
0001001618,"황금냉면나라","서울특별시 금천구 시흥동 세종대로 7-16 3층",영업중,,,,,
0001001619,"신선한파스타명가","서울특별시 강남구 압구정동 보라매로 100-6 4층",영업중,,,,,
0001001620,"이태원 칼국수","서울특별시 서초구 양재동 올림픽로 34-2 5층",영업중,,2020-03-05,"환경위생 불량","음식물 쓰레기 처리 위반",시정명령
0001001621,"한식백반63번지관","서울특별시 송파구 잠실동 홍대앞길 158-5 1층",영업중,,,,,
0001001622,"할머니 삼치구이","서울특별시 서초구 잠원동 한강대로 50-17",영업중,,,,,
0001001623,"김씨삼겹살마당","서울특별시 성동구 마장동 경인로 107-14",영업중,,,,,
0001001624,"이태원 튀김","서울특별시 중구 명동 올림픽로 9-16",영업중,,,,,
0001001625,"어머니낙지볶음마당","서울특별시 도봉구 도봉동 통일로 139-1",영업중,,,,,
0001001626,"짜장면162번지코너","서울특별시 송파구 풍납동 우이천로 8-13",영업중,,2025-05-07,"위생관리기준 위반","식품접촉 기구 위생 불량",과태료
0001001626,"짜장면162번지코너","서울특별시 송파구 풍납동 우이천로 8-13",영업중,,2025-10-26,"위생관리기준 위반","식품 보관기준 위반",과태료
0001001627,"오씨갈비전문점","서울특별시 송파구 방이동 관악로 63-4 2층",영업중,,,,,
0001001628,"김치찌개코너","서울특별시 강동구 둔촌동 보라매로 96-15",영업중,,,,,
0001001629,"아버지의설렁탕본점","서울특별시 동작구 흑석동 천호대로 163-3 1층",영업중,,2021-06-21,"원산지 표시 위반","식품접촉 기구 위생 불량",경고
0001001629,"아버지의설렁탕본점","서울특별시 동작구 흑석동 천호대로 163-3 1층",영업중,,2025-12-20,"가격표시 위반","음식물 쓰레기 처리 위반",폐쇄명령
0001001629,"아버지의설렁탕본점","서울특별시 동작구 흑석동 천호대로 163-3 1층",영업중,,2018-10-01,"위생관리기준 위반","위생모 미착용",과태료
0001001629,"아버지의설렁탕본점","서울특별시 동작구 흑석동 천호대로 163-3 1층",영업중,,2026-04-05,"시설기준 위반","원산지 허위표시",과태료
0001001629,"아버지의설렁탕본점","서울특별시 동작구 흑석동 천호대로 163-3 1층",영업중,,2026-05-08,"청결유지 위반","식품접촉 기구 위생 불량",과태료
0001001629,"아버지의설렁탕본점","서울특별시 동작구 흑석동 천호대로 163-3 1층",영업중,,2024-07-03,"시설기준 위반","식품첨가물 사용기준 위반",과태료
0001001630,"갈치조림782번지코너","서울특별시 동작구 흑석동 서강대로 84-10",폐업,2019-07-10,,,,
0001001631,"라멘837번지직영점","서울특별시 강서구 화곡동 천호대로 2-9",영업중,,,,,
0001001632,"윤씨삼겹살관","서울특별시 동작구 신대방동 목동로 105-10",영업중,,,,,
0001001633,"전통아구찜코너","서울특별시 중구 을지로 시청앞로 136-6",영업중,,2026-01-07,"시설기준 위반","조리장 청결 불량",과태료
0001001634,"이태원낙지볶음왕국","서울특별시 관악구 남현동 길동로 33-4 1층",영업중,,,,,
0001001635,"할머니칼국수전문점","서울특별시 용산구 원효로 아리수로 136-16",폐업,2023-11-15,,,,
0001001636,"신씨보쌈원","서울특별시 강동구 길동 한강대로 55-16",영업중,,,,,
0001001637,"장씨한정식본점","서울특별시 도봉구 쌍문동 노량진로 129-19",영업중,,,,,
0001001638,"한씨피자식당","서울특별시 금천구 독산동 수유로 37-13 3층",영업중,,,,,
0001001639,"삼겹살집","서울특별시 관악구 서원동 남부순환로 71-1 3층",영업중,,,,,
0001001640,"압구정고등어구이본점","서울특별시 도봉구 도봉동 상도로 119-15 4층",영업중,,,,,
0001001641,"김씨버거왕국","서울특별시 서대문구 남가좌동 성내로 80-12",폐업,2019-02-05,,,,
0001001642,"참비빔밥세상","서울특별시 광진구 능동동 방화대로 63-7 5층",영업중,,2025-07-08,"식품표시 위반","식품 보관기준 위반",과태료
0001001642,"참비빔밥세상","서울특별시 광진구 능동동 방화대로 63-7 5층",영업중,,2026-02-07,"원산지 표시 위반","원산지 허위표시",경고
0001001642,"참비빔밥세상","서울특별시 광진구 능동동 방화대로 63-7 5층",영업중,,2022-02-06,"유통기한 경과 제품 사용","식품접촉 기구 위생 불량",영업정지15일
0001001643,"이태원 한정식","서울특별시 금천구 독산동 신림로 164-16",영업중,,,,,
0001001644,"황금 짜장면","서울특별시 서대문구 창천동 홍대앞길 162-18 4층",영업중,,,,,
0001001645,"전통삼겹살집","서울특별시 종로구 창신동 화곡로 106-20",영업중,,2025-09-12,"원산지 표시 위반","조리장 청결 불량",과태료
0001001646,"원조 닭갈비","서울특별시 노원구 상계동 봉천로 184-17 2층",영업중,,,,,
0001001647,"보쌈본점","서울특별시 강동구 둔촌동 수유로 144-13",영업중,,,,,
0001001648,"원조황태해장국관","서울특별시 양천구 신월동 공항대로 94-3",영업중,,2025-09-08,"원산지 표시 위반","종업원 건강진단 미실시",과태료
0001001648,"원조황태해장국관","서울특별시 양천구 신월동 공항대로 94-3",영업중,,2026-05-27,"원산지 표시 위반","식품접촉 기구 위생 불량",과태료
0001001648,"원조황태해장국관","서울특별시 양천구 신월동 공항대로 94-3",영업중,,2021-02-11,"원산지 표시 위반","식품첨가물 사용기준 위반",과태료
0001001648,"원조황태해장국관","서울특별시 양천구 신월동 공항대로 94-3",영업중,,2021-07-01,"원산지 표시 위반","조리장 청결 불량",과태료
0001001648,"원조황태해장국관","서울특별시 양천구 신월동 공항대로 94-3",영업중,,2026-03-11,"식품표시 위반","식품 보관기준 위반",과태료
0001001648,"원조황태해장국관","서울특별시 양천구 신월동 공항대로 94-3",영업중,,2026-06-08,"시설기준 위반","영업장 내 위생시설 불량",시정명령
0001001648,"원조황태해장국관","서울특별시 양천구 신월동 공항대로 94-3",영업중,,2021-01-06,"위생관리기준 위반","원산지 미표시",경고
0001001649,"서씨튀김가","서울특별시 성북구 길음동 양천로 74-7",영업중,,2025-12-07,"영업자 준수사항 위반","식품 보관기준 위반",경고
0001001650,"참갈비본점","서울특별시 서대문구 홍제동 한강대로 78-13",영업중,,2020-12-17,"원산지 표시 위반","종업원 건강진단 미실시",시정명령
0001001650,"참갈비본점","서울특별시 서대문구 홍제동 한강대로 78-13",영업중,,2023-06-05,"시설기준 위반","식품 보관기준 위반",과태료
0001001650,"참갈비본점","서울특별시 서대문구 홍제동 한강대로 78-13",영업중,,2023-08-24,"위생관리기준 위반","식품 보관기준 위반",경고
0001001651,"홍대튀김세상","서울특별시 송파구 거여동 세종대로 27-6",영업중,,2023-11-27,"위생관리기준 위반","식품접촉 기구 위생 불량",과태료
0001001652,"정씨김치찌개왕국","서울특별시 서초구 반포동 선유로 45-7",폐업,2021-02-11,,,,
0001001653,"황금 한식","서울특별시 강남구 역삼동 양재천로 155-5 2층",영업중,,,,,
0001001654,"황금 한식","서울특별시 성북구 석관동 영등포로 46-17 3층",영업중,,2026-04-20,"영업자 준수사항 위반","냉장·냉동설비 미작동",영업정지15일
0001001654,"황금 한식","서울특별시 성북구 석관동 영등포로 46-17 3층",영업중,,2024-08-20,"시설기준 위반","종업원 건강진단 미실시",시정명령
0001001654,"황금 한식","서울특별시 성북구 석관동 영등포로 46-17 3층",영업중,,2026-01-13,"시설기준 위반","영업장 내 위생시설 불량",폐쇄명령
0001001655,"홍대삼겹살코너","서울특별시 성동구 왕십리동 남부순환로 23-8 2층",영업중,,,,,
0001001656,"압구정 라멘","서울특별시 강서구 방화동 선유로 163-20",폐업,2022-01-08,,,,
0001001657,"명동전통한식직영점","서울특별시 종로구 창신동 서강대로 103-7",영업중,,,,,
0001001658,"신사 회","서울특별시 은평구 진관동 세종대로 133-14 2층",영업중,,,,,
0001001659,"오삼불고기500번지가","서울특별시 강서구 발산동 수유로 59-6",영업중,,2024-12-07,"위생관리기준 위반","음식물 쓰레기 처리 위반",경고
0001001659,"오삼불고기500번지가","서울특별시 강서구 발산동 수유로 59-6",영업중,,2022-09-13,"위생관리기준 위반","원산지 미표시",과태료
0001001659,"오삼불고기500번지가","서울특별시 강서구 발산동 수유로 59-6",영업중,,2026-04-13,"시설기준 위반","식품 보관기준 위반",시정명령
0001001659,"오삼불고기500번지가","서울특별시 강서구 발산동 수유로 59-6",영업중,,2026-04-02,"시설기준 위반","영업장 내 위생시설 불량",영업정지1개월
0001001660,"진짜 갈비","서울특별시 구로구 개봉동 영등포로 97-9",영업중,,2024-09-07,"위생관리기준 위반","원산지 허위표시",경고
0001001661,"오삼불고기576번지집","서울특별시 성북구 정릉동 언주로 199-6",영업중,,2025-10-28,"시설기준 위반","조리장 청결 불량",영업정지15일
0001001662,"냉면249번지세상","서울특별시 동작구 노량진동 선유로 42-18",영업중,,,,,
0001001663,"우동직영점","서울특별시 성동구 마장동 강남대로 190-5 2층",영업중,,,,,
0001001664,"된장찌개왕국","서울특별시 강서구 염창동 당산로 177-18",영업중,,2026-04-24,"영업자 준수사항 위반","유통기한 경과 식품 보관",과태료
0001001664,"된장찌개왕국","서울특별시 강서구 염창동 당산로 177-18",영업중,,2018-01-03,"원산지 표시 위반","조리사 면허 미취득 조리",시정명령
0001001665,"정씨회명가","서울특별시 관악구 봉천동 공항대로 148-11",영업중,,,,,
0001001666,"임씨된장찌개나라","서울특별시 노원구 하계동 강남대로 185-5",영업중,,2022-12-17,"시설기준 위반","유통기한 경과 식품 보관",시정명령
0001001666,"임씨된장찌개나라","서울특별시 노원구 하계동 강남대로 185-5",영업중,,2025-08-13,"영업자 준수사항 위반","위생모 미착용",경고
0001001666,"임씨된장찌개나라","서울특별시 노원구 하계동 강남대로 185-5",영업중,,2026-02-11,"위생관리기준 위반","위생모 미착용",과태료
0001001667,"박씨설렁탕나라","서울특별시 용산구 서빙고동 신림로 94-12",영업중,,2019-05-26,"영업자 준수사항 위반","식품 보관기준 위반",시정명령
0001001668,"압구정 파스타","서울특별시 영등포구 문래동 상도로 196-7 1층",영업중,,2025-10-28,"위생관리기준 위반","영업장 내 위생시설 불량",영업정지3개월
0001001668,"압구정 파스타","서울특별시 영등포구 문래동 상도로 196-7 1층",영업중,,2025-07-02,"시설기준 위반","식품 보관기준 위반",과태료
0001001669,"윤씨초밥집","서울특별시 금천구 독산동 강남대로 86-2 2층",영업중,,2018-08-21,"원산지 표시 위반","식품접촉 기구 위생 불량",과태료
0001001670,"신사 갈치조림","서울특별시 동작구 흑석동 마포대로 160-7",영업중,,,,,
0001001671,"강씨회전문점","서울특별시 성북구 하월곡동 상도로 124-16 4층",영업중,,,,,
0001001672,"아구찜직영점","서울특별시 구로구 구로동 경의로 98-9",영업중,,,,,
0001001673,"김씨국밥식당","서울특별시 강동구 길동 서초대로 52-15",영업중,,,,,
0001001674,"한우11번지전문점","서울특별시 강남구 삼성동 홍대앞길 18-14 2층",영업중,,,,,
0001001675,"한씨보쌈관","서울특별시 관악구 남현동 봉천로 71-19",영업중,,2019-12-15,"유통기한 경과 제품 사용","유통기한 경과 식품 보관",시정명령
0001001675,"한씨보쌈관","서울특별시 관악구 남현동 봉천로 71-19",영업중,,2022-03-28,"위생관리기준 위반","음식물 쓰레기 처리 위반",시정명령
0001001675,"한씨보쌈관","서울특별시 관악구 남현동 봉천로 71-19",영업중,,2025-11-08,"위생관리기준 위반","종업원 건강진단 미실시",시정명령
0001001675,"한씨보쌈관","서울특별시 관악구 남현동 봉천로 71-19",영업중,,2024-07-11,"원산지 표시 위반","냉장·냉동설비 미작동",과태료
0001001676,"이태원 갈치조림","서울특별시 동작구 대방동 용산로 166-17",영업중,,,,,
0001001677,"즐거운순대국밥가","서울특별시 동작구 신대방동 천호대로 130-4",영업중,,,,,
0001001678,"강남제육볶음마당","서울특별시 용산구 후암동 아리수로 182-19",영업중,,,,,
0001001679,"낙지볶음120번지직영점","서울특별시 광진구 화양동 홍대앞길 46-12",폐업,2024-11-05,,,,
0001001680,"옛날 전통한식","서울특별시 영등포구 당산동 경의로 169-11 3층",영업중,,2018-05-01,"가격표시 위반","영업장 내 위생시설 불량",영업정지3개월
0001001681,"삼치구이세상","서울특별시 강서구 발산동 한남대로 119-19",영업중,,,,,
0001001682,"피자나라","서울특별시 중랑구 중화동 당산로 45-12 1층",영업중,,2019-05-07,"영업자 준수사항 위반","원산지 허위표시",시정명령
0001001682,"피자나라","서울특별시 중랑구 중화동 당산로 45-12 1층",영업중,,2025-08-07,"시설기준 위반","영업장 내 위생시설 불량",시정명령
0001001682,"피자나라","서울특별시 중랑구 중화동 당산로 45-12 1층",영업중,,2025-07-12,"영업자 준수사항 위반","조리사 면허 미취득 조리",시정명령
0001001682,"피자나라","서울특별시 중랑구 중화동 당산로 45-12 1층",영업중,,2021-09-08,"영업자 준수사항 위반","식품첨가물 사용기준 위반",시정명령
0001001683,"삼겹살코너","서울특별시 강남구 신사동 강서로 95-14",영업중,,,,,
0001001684,"버거가","서울특별시 성북구 석관동 서초대로 116-14",영업중,,,,,
